Name,OceanModel,SeaIceModel,AtmoModel,IceExtent,BiasCorrect,Framework
Barton-NRL,HYCOM,CICE-4,NAVGEM,4.5,0,2
Blanchard,POP,CICE-4,CAM-4,4.99,1,2
BSC-ES,NEMO,LIM-2,IFS,5.55,1,2
Cullather,MOM4,CICE-4,GEOS-5,5.03,0,2
Msadek,MOM4,SIS,GAMDT,4.82,1,2
Peterson,NEMO,CICE-6,UM,3.7,1,2
Qiao,POP2,CICE-4,CAM3,5.33,0,2
Wang,MOM,SIS,NCEP-GFS,5,1,2
Grumbine,MOM4,SIS,NCEP-CFSV2,5.06,0,2
Barthelemy,NEMO,LIM-3,NCEP-R1,4.1,1,1
Jin,POP,CICE-4,GFDL,5.06,0,1
Kauker,NAOSIM,NOASIM,NCEP-R1,5.55,1,1
Metzger-NRL,HYCOM,CICE-4,NCEP-CFSR,5,0,1
Zhang,PIOMAS,PIOMAS,NCEP-R1,5.2,0,1
